,artist,text
0,A$AP Ant,Triple beam for the weight
1,A$AP Ant,Cut the middle man tryna get  white bitches
2,A$AP Ant,Snorting off the plate coke from Colombia
3,A$AP Ant,Riding round in the Benz looking like a trap star
4,A$AP Ant,Flipping raw day and night
5,A$AP Ant,Tryna get my money right naw I aint living rite
6,A$AP Ant,Fucking bitches all night kick em out the next day
7,A$AP Ant,Hit me with a half bring it back in two days
8,A$AP Ant,Living in Cali by the ocean
9,A$AP Ant,I send em to the husband he over there fussing
10,A$AP Ant,Im over here fucking no loving
11,A$AP Ant,Puffing on heavenly rock star   s
12,A$AP Ant,Slim pants ripped jeans Jeremy Scott wings
13,A$AP Ant,Fucking heavily counting up cream
14,A$AP Ant,Rolling on beans disobedient with trees
15,A$AP Ant,Tatted from neck to ear bitches they want to stare
16,A$AP Ant,Macking with hoes as I pose
17,A$AP Ant,Hand in my draws henny out my pores
18,A$AP Ant,As I pour hit the blunt too much you on the dash as I pass
19,A$AP Ant,Just Coke and White Bitches
20,A$AP Ant,Just Coke and White Bitches
21,A$AP Ant,Different money different days
22,A$AP Ant,Close your mouth if it aint about cane
23,A$AP Ant,Red paint tripping blue seat sack tripping
24,A$AP Ant,Surrounded by white bitches
25,A$AP Ant,Slipping off wedding rings
26,A$AP Ant,Cali with the pool in the back
27,A$AP Ant,Meet me by the border ounce to a key
28,A$AP Ant,Korean imported extorted these niggas
29,A$AP Ant,Lighting up the spliff Basel on my wrist
30,A$AP Ant,Bought me a six pop the willy on that bitch
31,A$AP Ant,She snorting off my dick put her on the strip
32,A$AP Ant,Flipping my bread triple my spread nigga bring it back
33,A$AP Ant,Triple my racks bricks in my backpack
34,A$AP Ant,Still pouring up deuce in the triple cup
35,A$AP Ant,Purple lean or that yellow tuss
36,A$AP Ant,Do my thang let my nuts hang
37,A$AP Ant,Girls come back like boomerangs
38,A$AP Ant,Pretty flowers whens it spring
39,A$AP Ant,But fall off when its winter time
40,A$AP Ant,Sip Henny not wine boy get on your death rhyme
41,A$AP Ant,Make a milli off one rhyme pass the mic ima shine
42,A$AP Ant,Got my shit on rewind cold white bitches from the show
43,A$AP Ant,Mosh Pit better watch the toes airplane on leather floors
44,A$AP Ant,Tell the pilot where to go dark tints lay low
45,A$AP Ant,Cant see my new ho double debt like two shows
46,A$AP Ant,Fuck a nine five cop one moaint fuckin front do
47,A$AP Ant,See me in the car bitch going fast
48,A$AP Ant,If you gotta shorty then smash that
49,A$AP Ant,Where the licks at Lets hit that
50,A$AP Ant,Mossberg shotty saying get back
51,A$AP Ant,Paper chase might pass out
52,A$AP Ant,You niggas made me greater
53,A$AP Ant,Yall niggas Stuck in the same place
54,A$AP Ant,Brook ass elavators Magic Johnson scales
55,A$AP Ant,Playing for the Lakers faster than a Maverick
56,A$AP Ant,Niggas hustle backwards  four five give you static
57,A$AP Ant,White bitch sniff coke look like Kate Moss
58,A$AP Ant,Smoking on purple Randy Moss
59,A$AP Ant,Shrimp calamari tomato sauce
60,A$AP Ant,Never ever thinking of Santa Claus
61,A$AP Ant,Put in the new product drop next for
62,A$AP Ant,Like Penny Hardaway when I got the ball
63,A$AP Ant,Post in the hood like Im  feet tall
64,A$AP Ant,Hands on my nuts saying  Fuck the Law  
65,A$AP Ant,Everything I spit no cut all raw
66,A$AP Ant,Flow like PCP in the glass jar
67,A$AP Ant,I heard they talking heard they got jokes
68,A$AP Ant,Cant understand you my dick in your throat
69,A$AP Ant,Balls in your mouth and your hands on my coat
70,A$AP Ant,Dont need you touching me I might go broke
71,A$AP Ant,Dont need you fucking me you not that dope
72,A$AP Ant,I got you tight you aint acting right
73,A$AP Ant,If you keep on popping its popping outside
74,A$AP Ant,Give me a reason to scare you tonight
75,A$AP Ant,Act like yo ass got some sense
76,A$AP Ant,I dont wanna tell you again
77,A$AP Ant,Itty bitty bitches need to mind they fucking business
78,A$AP Ant,Before they end up in a meeting with the bottom of my temp
79,A$AP Ant,Itty bitty niggas need to mind they fucking bitches
80,A$AP Ant,Before I tell your little wifey you as public as connects  
81,A$AP Ant,Ay man straight to the point with these bitches
82,A$AP Ant,Deniro fetti provolone guap  Guap 
83,A$AP Ant,Deniro fetti provolone guap  Guap 
84,A$AP Ant,Deniro fetti provolone guap  Guap 
85,A$AP Ant,Deniro fetti provolone guap  Guap 
86,A$AP Ant,I see the money I get it  See the money get it 
87,A$AP Ant,I see the money I chase it  See the money chase it 
88,A$AP Ant,I see the money I get it  See the money get it 
89,A$AP Ant,I see the money I chase it  See the money chase it 
90,A$AP Ant,Deniro fetti provolone guap  Guap 
91,A$AP Ant,Deniro fetti provolone guap  Guap 
92,A$AP Ant,Counting Deniros  Cash out 
93,A$AP Ant,Spending Deniros  Cash out 
94,A$AP Ant,Stacking the money  Woosh 
95,A$AP Ant,Collecting the money  Woosh 
96,A$AP Ant,Thumbing through fetti  Ya 
97,A$AP Ant,Michael Jackson fetti  Word up 
98,A$AP Ant,Get you shot fetti  Word up 
99,A$AP Ant,Bill Gates fetti  Word up 
100,A$AP Ant,Buy my momma anything she wants fetti  Uh 
101,A$AP Ant,Deniro fetti provolone guap  Guap 
102,A$AP Ant,Deniro fetti provolone guap  Guap 
103,A$AP Ant,Deniro fetti provolone guap  Guap 
104,A$AP Ant,Deniro fetti provolone guap  Guap 
105,A$AP Ant,I see the money I get it  See the money get it 
106,A$AP Ant,I see the money I chase it  See the money chase it 
107,A$AP Ant,I see the money I get it  See the money get it 
108,A$AP Ant,I see the money I chase it  See the money chase it 
109,A$AP Ant,Deniro fetti provolone guap  Guap 
110,A$AP Ant,Deniro fetti provolone guap  Guap 
111,A$AP Ant,You still was trapping out the mall
112,A$AP Ant,Your gold chain looking fraud
113,A$AP Ant,Spilled this lean up on my clothes
114,A$AP Ant,She sucking dick all night
115,A$AP Ant,Looking like a million bucks
116,A$AP Ant,Your bitch got me so crazy
